"Country","Year","Monday Beta","Monday P-value","Friday Beta","Friday P-value","January Beta","January P-value","April Beta","April P-value","December Beta","December P-value","Halloween Beta","Halloween P-value","CES A","CES B","CES C"
"Nigeria",2010,-0.0187588838875425,0.934177264249017,-0.0277170876450825,0.902875314455205,0.367808353201781,0.254221892812387,0.0533767697812273,0.868409831776,-0.0383922234833862,0.90304543454888,0.23010448054838,0.185985447622888,0,0,0
"Nigeria",2011,-0.308380602975531,0.0183280544373653,0.0175968804000513,0.887116563294058,0.564658459822945,0.00164414542675701,0.259275739104724,0.164713227035301,0.343761747453998,0.0537511276558028,0.1430589979308,0.145831091131471,2,0.436519531399238,0.145506510466413
"Nigeria",2012,-0.0839234105285014,0.45390016483256,-0.0629385622803441,0.56833412385318,-0.0567943019944129,0.71311349525804,0.268833256350121,0.0971336245025785,0.215654753905283,0.182828521523707,-0.041277776359859,0.630063008224664,0,0,0
"Nigeria",2013,-0.0199174408845338,0.88625739900838,0.121795534989949,0.385601983064447,0.491892881452919,0.0122165881008539,-0.122294949342494,0.530810434414469,0.191505001649664,0.337249381939043,0.124944613225944,0.249618482201529,1,0.491892881452919,0.0819821469088198
"Nigeria",2014,0.165423745875338,0.338876045508589,0.27499554819941,0.109758070487992,-0.00526503907576282,0.982741881876816,0.0488497906988354,0.84435130632068,0.0985345032628679,0.685651489222294,-0.103456875715539,0.439064936140741,0,0,0
"Nigeria",2015,0.193884201084283,0.350444802461847,0.152711617601934,0.476380039848364,-0.706582150569965,0.0160974349551479,0.53338473478932,0.0685426476183115,0.312788945074768,0.284385134402604,0.125398401506658,0.435428395738352,1,0.706582150569965,0.117763691761661
"Nigeria",2016,-0.354317991235414,0.0727396803486243,0.0453837408083307,0.80892361150464,-0.935667015857537,0.000550621356676035,-0.0801228106102685,0.759491155594909,0.295913099018265,0.280360820111479,-0.185116423569653,0.211144256569053,1,0.935667015857537,0.155944502642923
"Norway",1996,0.025763706937036,0.810538438731484,0.091651964328205,0.394078746660972,0.0229132287527418,0.876404310417151,0.308803482665749,0.0506754670737059,0.162145113914495,0.315376782382181,0.150974979007014,0.0687169626929853,1,0.308803482665749,0.0514672471109581
"Norway",1997,0.0477168039349285,0.772621288859407,-0.0681979539776384,0.679654624642202,0.350233109208989,0.124424228533094,-0.0144519468545667,0.94932631073538,-0.00955281488535588,0.968632927826635,-0.0838469357285284,0.511587255684476,0,0,0
"Norway",1998,0.388218971201686,0.135381949403056,0.433397350372389,0.0982325100953053,0.00427748833654138,0.990753603894209,0.279495230699566,0.469491140984409,-0.0168770585195451,0.964323965164553,0.273576111930336,0.175081126048667,0,0,0
"Norway",1999,0.289972343438406,0.0808808957607198,0.158474109627532,0.339048999511875,0.40406567144748,0.0869758720060877,0.390488196083892,0.10598423569601,0.479662216224707,0.0380620730401192,0.295545548758386,0.0200822978379086,2,0.387603882491547,0.129201294163849
